seccion_mm2,calibre,cu_60c,cu_75c,cu_90c,al_60c,al_75c,al_90c
0.824,18 AWG,,,14,,,
1.31,16 AWG,,,18,,,
2.08,14 AWG,25,30,35,,,
3.31,12 AWG,30,35,40,,,
5.26,10 AWG,40,50,55,,,
8.37,8 AWG,60,70,80,,,
13.3,6 AWG,80,95,105,60,75,85
21.2,4 AWG,105,125,140,80,100,115
26.7,3 AWG,120,145,165,95,115,130
33.6,2 AWG,140,170,190,110,135,150
42.4,1 AWG,165,195,220,130,155,175
53.5,1/0 AWG,195,230,260,150,180,205
67.4,2/0 AWG,225,265,300,175,210,235
85.0,3/0 AWG,260,310,350,200,240,270
107.2,4/0 AWG,300,360,405,235,280,315
127,250 MCM,340,405,455,265,315,355
152,300 MCM,375,445,500,290,350,395
177,350 MCM,420,505,570,330,395,445
203,400 MCM,455,545,615,355,425,480
253,500 MCM,515,620,700,405,485,545
304,600 MCM,575,690,780,455,545,615
355,700 MCM,630,755,850,500,595,670
380,750 MCM,655,785,885,515,620,700
405,800 MCM,680,815,920,535,645,725
456,900 MCM,730,870,980,580,700,790
507,1000 MCM,780,935,1055,625,750,845
633,1250 MCM,890,1065,1200,710,855,965
760,1500 MCM,980,1175,1325,795,950,1070
887,1750 MCM,1070,1280,1445,875,1050,1185
1013,2000 MCM,1155,1385,1560,960,1150,1295
